Detector, Descriptor, Image id, No matched keypoints in ROI, TTC lidar, TTC camera
AKAZE,SIFT,10,127,18.0318,11.7862
AKAZE,SIFT,11,115,3.83244,12.3571
AKAZE,SIFT,12,119,nan,11.1895
AKAZE,SIFT,13,112,9.22307,11.4626
AKAZE,SIFT,14,112,10.9678,11.44
AKAZE,SIFT,15,103,8.09422,11.1914
AKAZE,SIFT,16,124,3.17535,9.89604
AKAZE,SIFT,17,109,nan,9.45174
AKAZE,SIFT,18,109,8.30978,9.6934
SIFT,BRISK,0,0,nan,nan
SIFT,BRISK,1,59,12.9722,11.5918
SIFT,BRISK,2,64,12.264,13.0542
SIFT,BRISK,3,79,13.9161,13.5432
SIFT,BRISK,4,68,7.11572,18.9447
SIFT,BRISK,5,60,16.2511,15.0724
SIFT,BRISK,6,72,12.4213,11.5722
SIFT,BRISK,7,81,34.3404,14.0533
SIFT,BRISK,8,82,9.34376,14.9979
SIFT,BRISK,9,81,18.1318,12.9428
SIFT,BRISK,10,62,18.0318,12.1381
SIFT,BRISK,11,61,3.83244,12.7588
SIFT,BRISK,12,62,nan,10.2518
SIFT,BRISK,13,62,9.22307,9.59755
SIFT,BRISK,14,66,10.9678,9.88336
SIFT,BRISK,15,61,8.09422,9.71646
SIFT,BRISK,16,71,3.17535,8.93159
SIFT,BRISK,17,56,nan,9.53044
SIFT,BRISK,18,55,8.30978,10.4772
SIFT,BRIEF,0,0,nan,nan
SIFT,BRIEF,1,71,12.9722,12.2506
SIFT,BRIEF,2,78,12.264,13.0807
SIFT,BRIEF,3,87,13.9161,15.0877
SIFT,BRIEF,4,72,7.11572,22.8595
SIFT,BRIEF,5,68,16.2511,13.2197
SIFT,BRIEF,6,84,12.4213,11.9659
SIFT,BRIEF,7,83,34.3404,15.7349
SIFT,BRIEF,8,86,9.34376,15.8137
SIFT,BRIEF,9,91,18.1318,12.7456
SIFT,BRIEF,10,69,18.0318,10.1241
SIFT,BRIEF,11,70,3.83244,12.033
SIFT,BRIEF,12,78,nan,10.1382
SIFT,BRIEF,13,68,9.22307,10.0226
SIFT,BRIEF,14,69,10.9678,10.6202
SIFT,BRIEF,15,65,8.09422,10.0867
SIFT,BRIEF,16,76,3.17535,9.47477
SIFT,BRIEF,17,56,nan,9.3448
SIFT,BRIEF,18,67,8.30978,8.7034
SIFT,FREAK,0,0,nan,nan
SIFT,FREAK,1,55,12.9722,11.2638
SIFT,FREAK,2,63,12.264,13.616
SIFT,FREAK,3,74,13.9161,13.5454
SIFT,FREAK,4,64,7.11572,20.5163
SIFT,FREAK,5,59,16.2511,15.1633
SIFT,FREAK,6,72,12.4213,11.9744
SIFT,FREAK,7,75,34.3404,14.4148
SIFT,FREAK,8,80,9.34376,13.1874
SIFT,FREAK,9,70,18.1318,13.9274
SIFT,FREAK,10,67,18.0318,11.3657
SIFT,FREAK,11,58,3.83244,13.5372
SIFT,FREAK,12,57,nan,10.7374
SIFT,FREAK,13,54,9.22307,10.056
SIFT,FREAK,14,57,10.9678,9.77994
SIFT,FREAK,15,55,8.09422,8.98705
SIFT,FREAK,16,72,3.17535,8.72439
SIFT,FREAK,17,49,nan,9.12142
SIFT,FREAK,18,58,8.30978,9.40627
SIFT,SIFT,0,0,nan,nan
SIFT,SIFT,1,84,12.9722,11.3868
SIFT,SIFT,2,81,12.264,12.5726
SIFT,SIFT,3,94,13.9161,12.9422
SIFT,SIFT,4,86,7.11572,18.8184
SIFT,SIFT,5,82,16.2511,12.4784
SIFT,SIFT,6,91,12.4213,11.1509
SIFT,SIFT,7,101,34.3404,13.5735
SIFT,SIFT,8,99,9.34376,14.6937
SIFT,SIFT,9,107,18.1318,13.3976
SIFT,SIFT,10,83,18.0318,11.5499
SIFT,SIFT,11,87,3.83244,11.2887
SIFT,SIFT,12,92,nan,11.0189
SIFT,SIFT,13,91,9.22307,9.95735
SIFT,SIFT,14,89,10.9678,10.5754
SIFT,SIFT,15,94,8.09422,9.77464
SIFT,SIFT,16,92,3.17535,9.05267
SIFT,SIFT,17,79,nan,8.69186
SIFT,SIFT,18,81,8.30978,8.9237
