Detector, Descriptor, Image id, No matched keypoints in ROI, TTC lidar, TTC camera
HARRIS,BRISK,10,3,18.0318,-inf
HARRIS,BRISK,11,6,3.83244,-inf
HARRIS,BRISK,12,8,nan,12.245
HARRIS,BRISK,13,12,9.22307,568.322
HARRIS,BRISK,14,9,10.9678,7.72144
HARRIS,BRISK,15,9,8.09422,-13.6263
HARRIS,BRISK,16,17,3.17535,6.65726
HARRIS,BRISK,17,7,nan,12.5848
HARRIS,BRISK,18,4,8.30978,-inf
HARRIS,BRIEF,0,0,nan,nan
HARRIS,BRIEF,1,9,12.9722,10.9082
HARRIS,BRIEF,2,5,12.264,nan
HARRIS,BRIEF,3,9,13.9161,-11.4731
HARRIS,BRIEF,4,11,7.11572,11.5792
HARRIS,BRIEF,5,18,16.2511,19.4967
HARRIS,BRIEF,6,13,12.4213,13.6217
HARRIS,BRIEF,7,18,34.3404,14.2744
HARRIS,BRIEF,8,15,9.34376,17.6204
HARRIS,BRIEF,9,8,18.1318,nan
HARRIS,BRIEF,10,10,18.0318,20.5862
HARRIS,BRIEF,11,11,3.83244,11.7414
HARRIS,BRIEF,12,11,nan,12.245
HARRIS,BRIEF,13,14,9.22307,13.4327
HARRIS,BRIEF,14,10,10.9678,5.6061
HARRIS,BRIEF,15,11,8.09422,-13.6263
HARRIS,BRIEF,16,19,3.17535,6.71705
HARRIS,BRIEF,17,11,nan,12.5848
HARRIS,BRIEF,18,3,8.30978,-inf
HARRIS,ORB,0,0,nan,nan
HARRIS,ORB,1,9,12.9722,10.9082
HARRIS,ORB,2,5,12.264,nan
HARRIS,ORB,3,10,13.9161,-11.4731
HARRIS,ORB,4,11,7.11572,11.5792
HARRIS,ORB,5,17,16.2511,35.3833
HARRIS,ORB,6,11,12.4213,13.5907
HARRIS,ORB,7,18,34.3404,13.497
HARRIS,ORB,8,15,9.34376,17.6204
HARRIS,ORB,9,7,18.1318,nan
HARRIS,ORB,10,8,18.0318,20.5862
HARRIS,ORB,11,12,3.83244,11.7414
HARRIS,ORB,12,10,nan,12.245
HARRIS,ORB,13,12,9.22307,568.322
HARRIS,ORB,14,11,10.9678,5.66097
HARRIS,ORB,15,11,8.09422,-13.6263
HARRIS,ORB,16,17,3.17535,7.03775
HARRIS,ORB,17,9,nan,12.5848
HARRIS,ORB,18,3,8.30978,-inf
HARRIS,FREAK,0,0,nan,nan
HARRIS,FREAK,1,7,12.9722,9.74953
HARRIS,FREAK,2,4,12.264,nan
HARRIS,FREAK,3,7,13.9161,-10.295
HARRIS,FREAK,4,8,7.11572,12.1284
HARRIS,FREAK,5,12,16.2511,39.584
HARRIS,FREAK,6,8,12.4213,13.5907
HARRIS,FREAK,7,15,34.3404,12.3379
HARRIS,FREAK,8,11,9.34376,12.9162
HARRIS,FREAK,9,6,18.1318,nan
HARRIS,FREAK,10,7,18.0318,10.2931
HARRIS,FREAK,11,5,3.83244,-inf
HARRIS,FREAK,12,9,nan,12.245
HARRIS,FREAK,13,10,9.22307,13.4327
HARRIS,FREAK,14,6,10.9678,nan
HARRIS,FREAK,15,4,8.09422,-inf
HARRIS,FREAK,16,14,3.17535,6.71705
HARRIS,FREAK,17,8,nan,nan
HARRIS,FREAK,18,6,8.30978,nan
HARRIS,SIFT,0,0,nan,nan
HARRIS,SIFT,1,9,12.9722,10.9082
HARRIS,SIFT,2,9,12.264,11.0081
HARRIS,SIFT,3,10,13.9161,-11.4731
HARRIS,SIFT,4,11,7.11572,11.5792
HARRIS,SIFT,5,18,16.2511,19.4967
HARRIS,SIFT,6,13,12.4213,15.2483
HARRIS,SIFT,7,18,34.3404,13.497
HARRIS,SIFT,8,15,9.34376,17.6204
HARRIS,SIFT,9,9,18.1318,3.30058
HARRIS,SIFT,10,9,18.0318,20.5862
HARRIS,SIFT,11,13,3.83244,11.7414
HARRIS,SIFT,12,10,nan,12.245
HARRIS,SIFT,13,12,9.22307,568.322
HARRIS,SIFT,14,10,10.9678,5.6061
HARRIS,SIFT,15,11,8.09422,-13.6263
HARRIS,SIFT,16,19,3.17535,6.71705
HARRIS,SIFT,17,10,nan,12.5848
HARRIS,SIFT,18,5,8.30978,-inf
FAST,BRISK,0,0,nan,nan
FAST,BRISK,1,58,12.9722,12.3
FAST,BRISK,2,67,12.264,12.3453
FAST,BRISK,3,75,13.9161,14.1877
FAST,BRISK,4,68,7.11572,12.8857
FAST,BRISK,5,65,16.2511,-inf
FAST,BRISK,6,69,12.4213,13.0386
FAST,BRISK,7,77,34.3404,12.041
FAST,BRISK,8,72,9.34376,11.4066
FAST,BRISK,9,75,18.1318,11.8684
FAST,BRISK,10,74,18.0318,13.3473
FAST,BRISK,11,67,3.83244,12.9492
FAST,BRISK,12,86,nan,12.1174
FAST,BRISK,13,87,9.22307,12.1074
FAST,BRISK,14,82,10.9678,11.6077
FAST,BRISK,15,79,8.09422,11.4079
FAST,BRISK,16,86,3.17535,12.2566
FAST,BRISK,17,89,nan,9.2933
